Date	W500	10YRTB	1YRTB	3MOTB	MBAA	30YRMR
4/1/71	955.25	5.83	4.3	3.86	8.45	7.31
5/1/71	919.83	6.39	5.04	4.14	8.62	7.43
6/1/71	921.91	6.52	5.64	4.75	8.75	7.53
7/1/71	887.9	6.73	6.04	5.4	8.76	7.6
8/1/71	919.19	6.58	5.8	4.94	8.76	7.7
9/1/71	914.22	6.14	5.41	4.69	8.59	7.69
10/1/71	877.33	5.93	4.91	4.46	8.48	7.63
11/1/71	871.15	5.81	4.67	4.22	8.38	7.55
12/1/71	949.26	5.93	4.6	4.01	8.38	7.48
1/1/72	976.73	5.95	4.28	3.38	8.23	7.44
2/1/72	1005.79	6.08	4.27	3.2	8.23	7.33
3/1/72	1013.1	6.07	4.67	3.73	8.24	7.3
4/1/72	1019.47	6.19	4.96	3.71	8.24	7.29
5/1/72	1033.38	6.13	4.64	3.69	8.23	7.37
6/1/72	1010.34	6.11	4.93	3.91	8.2	7.37
7/1/72	1006.5	6.11	4.96	3.98	8.23	7.4
8/1/72	1037.9	6.21	4.98	4.02	8.19	7.4
9/1/72	1028.17	6.55	5.52	4.66	8.09	7.42
10/1/72	1036.01	6.48	5.52	4.74	8.06	7.42
11/1/72	1080.29	6.28	5.27	4.78	7.99	7.43
12/1/72	1090.31	6.36	5.52	5.07	7.93	7.44
1/1/73	1059.76	6.46	5.89	5.41	7.9	7.44
2/1/73	1010.11	6.64	6.19	5.6	7.97	7.44
3/1/73	1001.61	6.71	6.85	6.09	8.03	7.46
4/1/73	950.87	6.67	6.85	6.26	8.09	7.54
5/1/73	923.96	6.85	6.89	6.36	8.06	7.65
6/1/73	914.85	6.9	7.31	7.19	8.13	7.73
7/1/73	965.02	7.13	8.39	8.01	8.24	8.05
8/1/73	931.52	7.4	8.82	8.67	8.53	8.5
9/1/73	979.04	7.09	8.31	8.29	8.63	8.82
10/1/73	978.75	6.79	7.4	7.22	8.41	8.77
11/1/73	854.6	6.73	7.57	7.83	8.42	8.58
12/1/73	861.73	6.74	7.27	7.45	8.48	8.54
1/1/74	863.57	6.99	7.42	7.77	8.48	8.54
2/1/74	862.06	6.96	6.88	7.12	8.53	8.46
3/1/74	838.94	7.21	7.76	7.96	8.62	8.41
4/1/74	799.58	7.51	8.62	8.33	8.87	8.58
5/1/74	760.04	7.58	8.78	8.23	9.05	8.97
6/1/74	739.5	7.54	8.67	7.9	9.27	9.09
7/1/74	686.32	7.81	8.8	7.55	9.48	9.28
8/1/74	620.04	8.04	9.36	8.96	9.77	9.59
9/1/74	550.04	8.04	8.87	8.06	10.18	9.96
10/1/74	639.41	7.9	8.05	7.46	10.48	9.98
11/1/74	607.86	7.68	7.66	7.47	10.6	9.79
12/1/74	590.34	7.43	7.31	7.15	10.63	9.62
1/1/75	675.54	7.5	6.83	6.26	10.81	9.43
2/1/75	712.86	7.39	5.98	5.5	10.65	9.11
3/1/75	730.29	7.73	6.11	5.49	10.48	8.9
4/1/75	763.99	8.23	6.9	5.61	10.58	8.82
5/1/75	802.3	8.06	6.39	5.23	10.69	8.91
6/1/75	840.17	7.86	6.29	5.34	10.62	8.89
7/1/75	787.06	8.06	7.11	6.13	10.55	8.89
8/1/75	766.26	8.4	7.7	6.44	10.59	8.94
9/1/75	734.62	8.43	7.75	6.42	10.61	9.13
10/1/75	773.79	8.14	6.95	5.96	10.62	9.22
11/1/75	794.05	8.05	6.49	5.48	10.56	9.15
12/1/75	784.15	8	6.6	5.44	10.56	9.1
1/1/76	880.47	7.74	5.81	4.87	10.41	9.02
2/1/76	881.88	7.79	5.91	4.88	10.24	8.81
3/1/76	903.47	7.73	6.21	5	10.12	8.76
4/1/76	893.64	7.56	5.92	4.86	9.94	8.73
5/1/76	879.52	7.9	6.4	5.2	9.86	8.77
6/1/76	914.8	7.86	6.52	5.41	9.89	8.85
7/1/76	907.82	7.83	6.2	5.23	9.82	8.93
8/1/76	900.91	7.77	6	5.14	9.64	9
9/1/76	920.72	7.59	5.84	5.08	9.4	8.98
10/1/76	899.9	7.41	5.5	4.92	9.29	8.93
11/1/76	899.25	7.29	5.29	4.75	9.23	8.81
12/1/76	954.18	6.87	4.89	4.35	9.12	8.79
1/1/77	918.86	7.21	5.29	4.62	9.08	8.72
2/1/77	899.97	7.39	5.47	4.67	9.12	8.67
3/1/77	888.81	7.46	5.5	4.6	9.12	8.69
4/1/77	893.43	7.37	5.44	4.54	9.07	8.75
5/1/77	882.18	7.46	5.84	4.96	9.01	8.82
6/1/77	919.19	7.28	5.8	5.02	8.91	8.86
7/1/77	905.66	7.33	5.94	5.19	8.87	8.94
8/1/77	887.63	7.4	6.37	5.49	8.82	8.94
9/1/77	887.45	7.34	6.53	5.81	8.8	8.9
10/1/77	851.6	7.52	6.97	6.16	8.89	8.92
11/1/77	882.39	7.58	6.95	6.1	8.95	8.92
12/1/77	887.59	7.69	6.96	6.07	8.99	8.96
1/1/78	836.79	7.96	7.28	6.44	9.17	9.02
2/1/78	822.27	8.03	7.34	6.45	9.2	9.16
3/1/78	847.81	8.04	7.31	6.29	9.22	9.2
4/1/78	916.42	8.15	7.45	6.29	9.32	9.36
5/1/78	930.65	8.35	7.82	6.41	9.49	9.58
6/1/78	917.97	8.46	8.09	6.73	9.6	9.71
7/1/78	969.18	8.64	8.39	7.01	9.6	9.74
8/1/78	1004.15	8.41	8.31	7.08	9.48	9.79
9/1/78	996.1	8.42	8.64	7.85	9.42	9.76
10/1/78	886.92	8.64	9.14	7.99	9.59	9.86
11/1/78	908.34	8.81	10.01	8.64	9.83	10.11
12/1/78	922.77	9.01	10.3	9.08	9.94	10.35
1/1/79	964.88	9.1	10.41	9.35	10.13	10.39
2/1/79	935.84	9.1	10.24	9.32	10.08	10.41
3/1/79	997.62	9.12	10.25	9.48	10.26	10.43
4/1/79	1004.7	9.18	10.12	9.46	10.33	10.5
5/1/79	981.15	9.25	10.12	9.61	10.47	10.69
6/1/79	1028.23	8.91	9.57	9.06	10.38	11.04
7/1/79	1038.16	8.95	9.64	9.24	10.29	11.09
8/1/79	1097.81	9.03	9.98	9.52	10.35	11.09
9/1/79	1101.82	9.33	10.84	10.26	10.54	11.3
10/1/79	1020.04	10.3	12.44	11.7	11.4	11.64
11/1/79	1075.4	10.65	12.39	11.79	11.99	12.83
12/1/79	1100.71	10.39	11.98	12.04	12.06	12.9
1/1/80	1176.99	10.8	12.06	12	12.42	12.88
2/1/80	1171.65	12.41	13.92	12.86	13.57	13.04
3/1/80	1026.03	12.75	15.82	15.2	14.45	15.28
4/1/80	1075.93	11.47	13.3	13.2	14.19	16.33
5/1/80	1127.14	10.18	9.39	8.58	13.17	14.26
6/1/80	1165.14	9.78	8.16	7.07	12.71	12.71
7/1/80	1242.57	10.25	8.65	8.06	12.65	12.19
8/1/80	1267.49	11.1	10.24	9.13	13.15	12.56
9/1/80	1300.9	11.51	11.52	10.27	13.7	13.2
10/1/80	1330.26	11.75	12.49	11.62	14.23	13.79
11/1/80	1466.64	12.68	14.15	13.73	14.64	14.21
12/1/80	1404.6	12.84	14.88	15.49	15.14	14.79
1/1/81	1342.17	12.57	14.08	15.02	15.03	14.9
2/1/81	1351.44	13.19	14.57	14.79	15.37	15.13
3/1/81	1415.04	13.12	13.71	13.36	15.34	15.4
4/1/81	1401.08	13.68	14.32	13.69	15.56	15.58
5/1/81	1410.97	14.1	16.2	16.3	15.95	16.4
6/1/81	1391.4	13.47	14.86	14.73	15.8	16.7
7/1/81	1382.29	14.28	15.72	14.95	16.17	16.83
8/1/81	1297.2	14.94	16.72	15.51	16.34	17.29
9/1/81	1208.44	15.32	16.52	14.7	16.92	18.16
10/1/81	1277.45	15.15	15.38	13.54	17.11	18.45
11/1/81	1326.22	13.39	12.41	10.86	16.39	17.83
12/1/81	1286.24	13.72	12.85	10.85	16.55	16.92
1/1/82	1247.35	14.59	14.32	12.28	17.1	17.4
2/1/82	1170.37	14.43	14.73	13.48	17.18	17.6
3/1/82	1153.7	13.86	13.95	12.68	16.82	17.16
4/1/82	1201.46	13.87	13.98	12.7	16.78	16.89
5/1/82	1157.85	13.62	13.34	12.09	16.64	16.68
6/1/82	1125.13	14.3	14.07	12.47	16.92	16.7
7/1/82	1099.7	13.95	13.24	11.35	16.8	16.82
8/1/82	1219.94	13.06	11.43	8.68	16.32	16.27
9/1/82	1235.79	12.34	10.85	7.92	15.63	15.43
10/1/82	1377.33	10.91	9.32	7.71	14.73	14.61
11/1/82	1435.37	10.55	9.16	8.07	14.3	13.83
12/1/82	1451.59	10.54	8.91	7.94	14.14	13.62
1/1/83	1508.98	10.46	8.62	7.86	13.94	13.25
2/1/83	1548.13	10.72	8.92	8.11	13.95	13.04
3/1/83	1600.06	10.51	9.04	8.35	13.61	12.8
4/1/83	1716.89	10.4	8.98	8.21	13.29	12.78
5/1/83	1729.91	10.38	8.9	8.19	13.09	12.63
6/1/83	1791.7	10.85	9.66	8.79	13.37	12.87
7/1/83	1733.45	11.38	10.2	9.08	13.39	13.42
8/1/83	1734.15	11.85	10.53	9.34	13.64	13.81
9/1/83	1757.86	11.65	10.16	9	13.55	13.73
10/1/83	1707.46	11.54	9.81	8.64	13.46	13.54
11/1/83	1747.26	11.69	9.94	8.76	13.61	13.44
12/1/83	1723.62	11.83	10.11	9	13.75	13.42
1/1/84	1692.65	11.67	9.9	8.9	13.65	13.37
2/1/84	1616.94	11.84	10.04	9.09	13.59	13.23
3/1/84	1633.98	12.32	10.59	9.52	13.99	13.39
4/1/84	1635.44	12.63	10.9	9.69	14.31	13.65
5/1/84	1540.08	13.41	11.66	9.83	14.74	13.94
6/1/84	1571.33	13.56	12.08	9.87	15.05	14.42
7/1/84	1536.91	13.36	12.03	10.12	15.15	14.67
8/1/84	1702.1	12.72	11.82	10.47	14.63	14.47
9/1/84	1698.07	12.52	11.58	10.37	14.35	14.35
10/1/84	1692.87	12.16	10.9	9.74	13.94	14.13
11/1/84	1666.92	11.57	9.82	8.61	13.48	13.64
12/1/84	1702.01	11.5	9.33	8.06	13.4	13.18
1/1/85	1845.24	11.38	9.02	7.76	13.26	13.08
2/1/85	1868.27	11.51	9.29	8.27	13.23	12.92
3/1/85	1859.77	11.86	9.86	8.52	13.69	13.17
4/1/85	1852.76	11.43	9.14	7.95	13.51	13.2
5/1/85	1948.25	10.85	8.46	7.48	13.15	12.91
6/1/85	1977.84	10.16	7.8	6.95	12.4	12.22
7/1/85	1972.98	10.31	7.86	7.08	12.43	12.03
8/1/85	1953.1	10.33	8.05	7.14	12.5	12.19
9/1/85	1871.23	10.37	8.07	7.1	12.48	12.19
10/1/85	1949.96	10.24	8.01	7.16	12.36	12.14
11/1/85	2076.72	9.78	7.88	7.24	11.99	11.78
12/1/85	2164.69	9.26	7.67	7.1	11.58	11.26
1/1/86	2184.11	9.19	7.73	7.07	11.44	10.88
2/1/86	2335.94	8.7	7.61	7.06	11.11	10.71
3/1/86	2455.24	7.78	7.03	6.56	10.5	10.08
4/1/86	2434.17	7.3	6.44	6.06	10.19	9.94
5/1/86	2548.89	7.71	6.65	6.15	10.29	10.14
6/1/86	2577.65	7.8	6.73	6.21	10.34	10.68
7/1/86	2419.31	7.3	6.27	5.83	10.16	10.51
8/1/86	2570.85	7.17	5.93	5.53	10.18	10.2
9/1/86	2360.48	7.45	5.77	5.21	10.2	10.01
10/1/86	2475.41	7.43	5.72	5.18	10.24	9.97
